software
alfresco
android
apache
apache hadoop
 d3 
decidim
docker
dolibarr
geoserver
gimp
 git 
github
gnucash
javascript
joomla
kmymoney
libre office
libreoffice
mariadb
metabase
mongo
moodle
mysql
nginx
nginx
odoo
onlyoffice
openkm
openproject
openrefine
orangehrm
orfeo
pentaho
php
posgres
postgres
python
qgis
roundcube
sentrifugo
talend
tunderbird
wordpress
x-road
xampp
xroad
zabbix
zimbra
nmap
openvas
nikto
snort
suricata
zeek
pfsense
opnsense
owasp zap
wapiti
autopsy
sleuth kit
veracrypt
gpg
 ossec 
wazuh
metasploit
sqlmap
aircrack-ng
keepass
bitwarden
cuckoo sandbox
 yara 
kubernetes security tools
falco
clamav
osquery
nagios
openvpn
keepass
wireshark
linux
redhat
ubuntu
red hat
veracrypt
centos
fedora
suse
